x;f(x)
-1;-2
-0,9;-1,829
-0,8;-1,712
-0,7;-1,643
-0,6;-1,616
-0,5;-1,625
-0,4;-1,664
-0,3;-1,727
-0,2;-1,808
-0,1;-1,901
-1,38777878078145E-16;-2
0,0999999999999999;-2,099
0,2;-2,192
0,3;-2,273
0,4;-2,336
0,5;-2,375
0,6;-2,384
0,7;-2,357
0,8;-2,288
0,9;-2,171
1;-2
1,1;-1,769
1,2;-1,472
1,3;-1,103
1,4;-0,656
1,5;-0,125
1,6;0,496
1,7;1,213
1,8;2,032
1,9;2,959
2;4
2,1;5,161
2,2;6,448
2,3;7,867
2,4;9,424
2,5;11,125
2,6;12,976
2,7;14,983
2,8;17,152
2,9;19,489
3;22
3,1;24,691
3,2;27,568
3,3;30,637
3,4;33,904
3,5;37,375
3,6;41,056
3,7;44,953
3,8;49,072
3,9;53,419
